// Garden of Time combat skill overlay.
//
// Load this file after db/import/mob_skill_db.txt. Each boss block deliberately
// clears and reconstructs the current local skill list so the afterskill chains
// remain ahead of unconditional attacks even when monster_ai is 0.
//
// Published mechanics establish the sequence and counterplay, but Gravity has
// not published AI rates. The 5s Seed/6s Effect Off cadence and skill levels are
// compatibility values from the public Garden implementation. Lake initiators
// use a conservative 12s cooldown. Hall's self-centered season fields are an
// engine-safe fallback for the official scattered warning-field presentation.
//
// MobID,Dummy,State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition,ConditionValue,val1,val2,val3,val4,val5,Emotion,Chat

// Hall of Life: second phase Rigel (preserve native attacks, add Garden layer).
22174,clear,,,,,,,,,,,,,,,,,
22174,Rigel@NPC_BLOCK_EXPLOSION,attack,789,3,10000,3000,1000,no,self,afterskill,788,,,,,,,
22174,Rigel@NPC_BLOCK_SEAL,attack,788,3,3333,2000,1000,no,self,afterskill,785,,,,,,,
22174,Rigel@NPC_AIMED_SHOWER,attack,786,3,5000,5000,1000,no,self,afterskill,785,,,,,,,
22174,Rigel@NPC_BLAZING_ERUPTION,attack,787,3,10000,5000,1000,no,self,afterskill,785,,,,,,,
22174,Rigel@NPC_LIGHTNING_JUDGEMENT,attack,791,3,10000,5000,1000,no,self,afterskill,790,,,,,,,
22174,Rigel@NPC_RESET_EFST,attack,793,1,10000,0,6000,yes,self,always,0,,,,,,,
22174,Rigel@NPC_SEEDTRAP,attack,775,4,10000,0,5000,yes,randomtarget,always,0,,,,,,,
22174,Rigel@NPC_TARGET_MARKER,attack,785,3,10000,0,12000,yes,self,always,0,,,,,,,
22174,Rigel@NPC_FROST_FIELD,attack,790,3,10000,0,18000,yes,self,always,0,,,,,,,
22174,Rigel@NPC_COMBOATTACK,attack,171,5,2000,0,50000,yes,target,always,0,,,,,,,
22174,Rigel@NPC_COMBOATTACK,chase,171,5,2000,0,50000,yes,target,always,0,,,,,,,
22174,Rigel@NPC_GUIDEDATTACK,attack,172,5,2000,0,50000,no,target,always,0,,,,,,,
22174,Rigel@KN_BRANDISHSPEAR,attack,57,10,500,0,30000,yes,target,always,0,,,,,,,
22174,Rigel@AC_DOUBLE,attack,46,10,2000,0,5000,yes,target,always,0,,,,,,,
22174,Rigel@AC_DOUBLE,attack,47,10,2000,0,5000,yes,target,always,0,,,,,,,
22174,Rigel@NPC_POWERUP,attack,349,5,2000,0,60000,yes,self,always,0,,,,,,,
22174,Rigel@NPC_DEADLYCURSE2,attack,779,5,5000,0,30000,no,self,always,0,,,,,,,
22174,Rigel@NPC_DEADLYCURSE2,chase,779,5,5000,0,30000,no,self,always,0,,,,,,,
22174,Rigel@NPC_STRIP_SHADOW,attack,778,7,5000,0,30000,no,target,always,0,,,,,,,
22174,Rigel@NPC_MOVE_COORDINATE,chase,755,5,5000,0,30000,no,self,always,0,,,,,,,

// Hall of Life: first phase Rigel.
22175,clear,,,,,,,,,,,,,,,,,
22175,Rigel@NPC_BLOCK_EXPLOSION,attack,789,3,10000,3000,1000,no,self,afterskill,788,,,,,,,
22175,Rigel@NPC_BLOCK_SEAL,attack,788,3,3333,2000,1000,no,self,afterskill,785,,,,,,,
22175,Rigel@NPC_AIMED_SHOWER,attack,786,3,5000,5000,1000,no,self,afterskill,785,,,,,,,
22175,Rigel@NPC_BLAZING_ERUPTION,attack,787,3,10000,5000,1000,no,self,afterskill,785,,,,,,,
22175,Rigel@NPC_LIGHTNING_JUDGEMENT,attack,791,3,10000,5000,1000,no,self,afterskill,790,,,,,,,
22175,Rigel@NPC_RESET_EFST,attack,793,1,10000,0,6000,yes,self,always,0,,,,,,,
22175,Rigel@NPC_SEEDTRAP,attack,775,4,10000,0,5000,yes,randomtarget,always,0,,,,,,,
22175,Rigel@NPC_TARGET_MARKER,attack,785,3,10000,0,12000,yes,self,always,0,,,,,,,
22175,Rigel@NPC_FROST_FIELD,attack,790,3,10000,0,18000,yes,self,always,0,,,,,,,
22175,Rigel@NPC_COMBOATTACK,attack,171,5,2000,0,50000,yes,target,always,0,,,,,,,
22175,Rigel@NPC_COMBOATTACK,chase,171,5,2000,0,50000,yes,target,always,0,,,,,,,
22175,Rigel@NPC_GUIDEDATTACK,attack,172,5,2000,0,50000,no,target,always,0,,,,,,,
22175,Rigel@KN_BRANDISHSPEAR,attack,57,10,500,0,30000,yes,target,always,0,,,,,,,
22175,Rigel@AC_DOUBLE,attack,46,10,2000,0,5000,yes,target,always,0,,,,,,,
22175,Rigel@AC_DOUBLE,attack,47,10,2000,0,5000,yes,target,always,0,,,,,,,
22175,Rigel@NPC_POWERUP,attack,349,5,2000,0,60000,yes,self,always,0,,,,,,,
22175,Rigel@NPC_DEADLYCURSE2,attack,779,5,5000,0,30000,no,self,always,0,,,,,,,
22175,Rigel@NPC_DEADLYCURSE2,chase,779,5,5000,0,30000,no,self,always,0,,,,,,,
22175,Rigel@NPC_STRIP_SHADOW,attack,778,7,5000,0,30000,no,target,always,0,,,,,,,
22175,Rigel@NPC_MOVE_COORDINATE,chase,755,5,5000,0,30000,no,self,always,0,,,,,,,

// Lake of Fire: Floral Pegasus / spring.
22177,clear,,,,,,,,,,,,,,,,,
22177,Floral Pegasus@NPC_AIMED_SHOWER,attack,786,2,10000,5000,1000,no,self,afterskill,785,,,,,,,
22177,Floral Pegasus@NPC_TARGET_MARKER,attack,785,2,10000,0,12000,yes,self,always,0,,,,,,,
22177,Floral Pegasus@MG_SOULSTRIKE,attack,13,7,3000,0,5000,no,target,always,0,,,,,,,
22177,Floral Pegasus@NPC_LICK,attack,206,5,2000,0,5000,yes,target,always,0,,,,,,,

// Lake of Fire: Coral Marine / summer.
22178,clear,,,,,,,,,,,,,,,,,
22178,Coral Marine@NPC_BLOCK_EXPLOSION,attack,789,2,10000,3000,1000,no,self,afterskill,788,,,,,,,
22178,Coral Marine@NPC_BLOCK_SEAL,attack,788,2,10000,2000,1000,no,self,afterskill,785,,,,,,,
22178,Coral Marine@NPC_TARGET_MARKER,attack,785,2,10000,0,12000,yes,self,always,0,,,,,,,
22178,Coral Marine@MG_FIREBOLT,attack,19,7,3000,0,5000,no,target,always,0,,,,,,,
22178,Coral Marine@NPC_LICK,attack,206,5,2000,0,5000,yes,target,always,0,,,,,,,

// Lake of Fire: Maple Tree / autumn.
22179,clear,,,,,,,,,,,,,,,,,
22179,Maple Tree@NPC_BLAZING_ERUPTION,attack,787,2,10000,5000,1000,no,self,afterskill,785,,,,,,,
22179,Maple Tree@NPC_TARGET_MARKER,attack,785,2,10000,0,12000,yes,self,always,0,,,,,,,
22179,Maple Tree@WZ_EARTHSPIKE,attack,90,7,3000,0,5000,no,target,always,0,,,,,,,
22179,Maple Tree@NPC_LICK,attack,206,5,2000,0,5000,yes,target,always,0,,,,,,,

// Lake of Fire: Monarch Penguin / winter.
22180,clear,,,,,,,,,,,,,,,,,
22180,Monarch Penguin@NPC_LIGHTNING_JUDGEMENT,attack,791,5,10000,5000,1000,no,self,afterskill,790,,,,,,,
22180,Monarch Penguin@NPC_FROST_FIELD,attack,790,5,10000,0,12000,yes,self,always,0,,,,,,,
22180,Monarch Penguin@MG_COLDBOLT,attack,14,7,3000,0,5000,no,target,always,0,,,,,,,
22180,Monarch Penguin@NPC_LICK,attack,206,5,2000,0,5000,yes,target,always,0,,,,,,,
